fid,id,oid,sr_no,girth_cm,height_m,canopy_dia_m,condition,ownership,society_name,road_name,northing,easting,balanced,special_collar,ward_name,botanical_name,saar_uid,common_name,local_name,economic_i,phenology,flowering,ward,is_rare
trees_display.fid--1672c0a_16c6758e284_-e38,18038741,,,26,5,3,Healthy,Public,N/A,Alandi Road,18.56424356,73.87415841,True,nan,16,Prosopis juliflora (Sw.)Dc.,4021357,Mesquite,Villayati Babul,Timber wood,Seasonal,October-May,16,False
trees_display.fid--1672c0a_16c6758e284_-e37,18038742,,,26,5,3,Healthy,Public,N/A,Alandi Road,18.56422036,73.87416646,True,nan,16,Prosopis juliflora (Sw.)Dc.,4021359,Mesquite,Villayati Babul,Timber wood,Seasonal,October-May,16,False
trees_display.fid--1672c0a_16c6758e284_-e36,18038743,,,25,4,3,Healthy,Public,N/A,Alandi Road,18.56420161,73.87414601,True,nan,16,Prosopis juliflora (Sw.)Dc.,4021358,Mesquite,Villayati Babul,Timber wood,Seasonal,October-May,16,False
trees_display.fid--1672c0a_16c6758e284_-e35,18038744,,,26,5,3,Healthy,Public,N/A,Alandi Road,18.56418826,73.87407459,True,nan,16,Prosopis juliflora (Sw.)Dc.,4021360,Mesquite,Villayati Babul,Timber wood,Seasonal,October-May,16,False
trees_display.fid--1672c0a_16c6758e284_-e34,18038745,,,26,6,3,Healthy,Public,N/A,Alandi Road,18.5642264,73.87396999,True,nan,16,Prosopis juliflora (Sw.)Dc.,4021361,Mesquite,Villayati Babul,Timber wood,Seasonal,October-May,16,False
trees_display.fid--1672c0a_16c6758e284_-e33,18038746,,,23,5,3,Healthy,Public,N/A,Alandi Road,18.56419207,73.8741336,True,nan,16,Prosopis juliflora (Sw.)Dc.,4021362,Mesquite,Villayati Babul,Timber wood,Seasonal,October-May,16,False
trees_display.fid--1672c0a_16c6758e284_-e32,18038747,,,20,4,2,Healthy,Public,N/A,Alandi Road,18.56422481,73.87412991,True,nan,16,Albizia saman (Jacq.) Merr.,4021363,Rain Tree,Rain Tree,Timber wood,Seasonal,March-July,16,False
trees_display.fid--1672c0a_16c6758e284_-e31,18038748,,,25,5,3,Healthy,Public,N/A,Alandi Road,18.56420701,73.87409437,True,nan,16,Prosopis juliflora (Sw.)Dc.,4021365,Mesquite,Villayati Babul,Timber wood,Seasonal,October-May,16,False
trees_display.fid--1672c0a_16c6758e284_-e30,18038749,,,12,2,1,Healthy,Public,N/A,Alandi Road,18.56422481,73.87397904,True,nan,16,Prosopis juliflora (Sw.)Dc.,4021364,Mesquite,Villayati Babul,Timber wood,Seasonal,October-May,16,False
trees_display.fid--1672c0a_16c6758e284_-e2f,18038750,,,26,5,3,Healthy,Public,N/A,Alandi Road,18.5641997,73.87412623,True,nan,16,Prosopis juliflora (Sw.)Dc.,4021366,Mesquite,Villayati Babul,Timber wood,Seasonal,October-May,16,False
trees_display.fid--1672c0a_16c6758e284_-e2e,18038751,,,25,4,3,Healthy,Public,N/A,Alandi Road,18.56419366,73.87410175,True,nan,16,Prosopis juliflora (Sw.)Dc.,4021367,Mesquite,Villayati Babul,Timber wood,Seasonal,October-May,16,False
trees_display.fid--1672c0a_16c6758e284_-e2d,18038752,,,65,6,3,Healthy,Public,N/A,Alandi Road,18.56422258,73.8740072,True,nan,16,Acacia nilotica (Linn.) Del.,4021368,Babul,Babool,Timber wood,Seasonal,October-December,16,False
trees_display.fid--1672c0a_16c6758e284_-e2c,18038753,,,10,2,1,Healthy,Public,N/A,Alandi Road,18.56419366,73.87400251,True,nan,16,Prosopis juliflora (Sw.)Dc.,4021369,Mesquite,Villayati Babul,Timber wood,Seasonal,October-May,16,False
trees_display.fid--1672c0a_16c6758e284_-e2b,18038754,,,20,4,3,Healthy,Public,N/A,Alandi Road,18.56417269,73.87409236,True,nan,16,Prosopis juliflora (Sw.)Dc.,4021371,Mesquite,Villayati Babul,Timber wood,Seasonal,October-May,16,False
trees_display.fid--1672c0a_16c6758e284_-e2a,18038755,,,25,5,3,Healthy,Public,N/A,Alandi Road,18.56417936,73.87411147,True,nan,16,Prosopis juliflora (Sw.)Dc.,4021370,Mesquite,Villayati Babul,Timber wood,Seasonal,October-May,16,False
trees_display.fid--1672c0a_16c6758e284_-e29,18038756,,,20,4,3,Healthy,Public,N/A,Alandi Road,18.5641641,73.87410041,True,nan,16,Prosopis juliflora (Sw.)Dc.,4021372,Mesquite,Villayati Babul,Timber wood,Seasonal,October-May,16,False
trees_display.fid--1672c0a_16c6758e284_-e28,18038757,,,20,5,3,Healthy,Public,N/A,Alandi Road,18.5642229,73.87404777,True,nan,16,Prosopis juliflora (Sw.)Dc.,4021373,Mesquite,Villayati Babul,Timber wood,Seasonal,October-May,16,False
trees_display.fid--1672c0a_16c6758e284_-e27,18038758,,,20,5,3,Healthy,Public,N/A,Alandi Road,18.56416029,73.8741279,True,nan,16,Prosopis juliflora (Sw.)Dc.,4021374,Mesquite,Villayati Babul,Timber wood,Seasonal,October-May,16,False
trees_display.fid--1672c0a_16c6758e284_-e26,18038759,,,25,4,3,Healthy,Public,N/A,Alandi Road,18.56420797,73.87397032,True,nan,16,Prosopis juliflora (Sw.)Dc.,4021375,Mesquite,Villayati Babul,Timber wood,Seasonal,October-May,16,False
