FID,id,geom,oid,sr_no,girth_cm,height_m,canopy_dia_m,condition,other_remarks,ownership,society_name,road_name,northing,easting,balanced,remarks,special_collar,ward_name,botanical_name,saar_uid,common_name,local_name,economic_i,phenology,flowering,ward,is_rare
trees_display.fid--1672c0a_16c6758e284_-e38,18038741,POINT (73.87415841200004 18.56424356200004),,,26,5,3,Healthy,,Public,"N/A
","Alandi Road 
    
    
    
",18.56424356,73.87415841,TRUE,NA,N/A,16,Prosopis juliflora (Sw.)Dc.,4021357,Mesquite,Villayati Babul,Timber wood,Seasonal,October-May,16,FALSE
trees_display.fid--1672c0a_16c6758e284_-e37,18038742,POINT (73.87416645900002 18.564220360000025),,,26,5,3,Healthy,,Public,"N/A
","Alandi Road 
    
    
    
",18.56422036,73.87416646,TRUE,NA,N/A,16,Prosopis juliflora (Sw.)Dc.,4021359,Mesquite,Villayati Babul,Timber wood,Seasonal,October-May,16,FALSE
trees_display.fid--1672c0a_16c6758e284_-e36,18038743,POINT (73.87414600700006 18.56420160800006),,,25,4,3,Healthy,,Public,"N/A
","Alandi Road 
    
    
    
",18.56420161,73.87414601,TRUE,NA,N/A,16,Prosopis juliflora (Sw.)Dc.,4021358,Mesquite,Villayati Babul,Timber wood,Seasonal,October-May,16,FALSE
trees_display.fid--1672c0a_16c6758e284_-e35,18038744,POINT (73.87407459300003 18.564188259000034),,,26,5,3,Healthy,,Public,"N/A
","Alandi Road 
    
    
    
",18.56418826,73.87407459,TRUE,NA,N/A,16,Prosopis juliflora (Sw.)Dc.,4021360,Mesquite,Villayati Babul,Timber wood,Seasonal,October-May,16,FALSE
trees_display.fid--1672c0a_16c6758e284_-e34,18038745,POINT (73.87396998700004 18.56422639900006),,,26,6,3,Healthy,,Public,"N/A
","Alandi Road 
    
    
    
",18.5642264,73.87396999,TRUE,NA,N/A,16,Prosopis juliflora (Sw.)Dc.,4021361,Mesquite,Villayati Babul,Timber wood,Seasonal,October-May,16,FALSE
trees_display.fid--1672c0a_16c6758e284_-e33,18038746,POINT (73.87413360200003 18.564192073000065),,,23,5,3,Healthy,,Public,"N/A
","Alandi Road 
    
    
    
",18.56419207,73.8741336,TRUE,NA,N/A,16,Prosopis juliflora (Sw.)Dc.,4021362,Mesquite,Villayati Babul,Timber wood,Seasonal,October-May,16,FALSE
trees_display.fid--1672c0a_16c6758e284_-e32,18038747,POINT (73.87412991400002 18.56422481000004),,,20,4,2,Healthy,,Public,"N/A
","Alandi Road 
    
    
    
",18.56422481,73.87412991,TRUE,NA,N/A,16,Albizia saman (Jacq.) Merr.,4021363,Rain Tree,Rain Tree,Timber wood,Seasonal,March-July,16,FALSE
trees_display.fid--1672c0a_16c6758e284_-e31,18038748,POINT (73.87409437400005 18.564207011000047),,,25,5,3,Healthy,,Public,"N/A
","Alandi Road 
    
    
    
",18.56420701,73.87409437,TRUE,NA,N/A,16,Prosopis juliflora (Sw.)Dc.,4021365,Mesquite,Villayati Babul,Timber wood,Seasonal,October-May,16,FALSE
trees_display.fid--1672c0a_16c6758e284_-e30,18038749,POINT (73.87397903900008 18.56422481000004),,,12,2,1,Healthy,,Public,"N/A
","Alandi Road 
    
    
    
",18.56422481,73.87397904,TRUE,NA,N/A,16,Prosopis juliflora (Sw.)Dc.,4021364,Mesquite,Villayati Babul,Timber wood,Seasonal,October-May,16,FALSE
trees_display.fid--1672c0a_16c6758e284_-e2f,18038750,POINT (73.87412622600006 18.564199701000057),,,26,5,3,Healthy,,Public,"N/A
","Alandi Road 
    
    
    
",18.5641997,73.87412623,TRUE,NA,N/A,16,Prosopis juliflora (Sw.)Dc.,4021366,Mesquite,Villayati Babul,Timber wood,Seasonal,October-May,16,FALSE
trees_display.fid--1672c0a_16c6758e284_-e2e,18038751,POINT (73.87410175100004 18.564193662000022),,,25,4,3,Healthy,,Public,"N/A
","Alandi Road 
    
    
    
",18.56419366,73.87410175,TRUE,NA,N/A,16,Prosopis juliflora (Sw.)Dc.,4021367,Mesquite,Villayati Babul,Timber wood,Seasonal,October-May,16,FALSE
trees_display.fid--1672c0a_16c6758e284_-e2d,18038752,POINT (73.87400720300008 18.564222585000024),,,65,6,3,Healthy,,Public,"N/A
","Alandi Road 
    
    
    
",18.56422258,73.8740072,TRUE,NA,N/A,16,Acacia nilotica (Linn.) Del.,4021368,Babul,Babool,Timber wood,Seasonal,October-December,16,FALSE
trees_display.fid--1672c0a_16c6758e284_-e2c,18038753,POINT (73.87400250900004 18.564193662000022),,,10,2,1,Healthy,,Public,"N/A
","Alandi Road 
    
    
    
",18.56419366,73.87400251,TRUE,NA,N/A,16,Prosopis juliflora (Sw.)Dc.,4021369,Mesquite,Villayati Babul,Timber wood,Seasonal,October-May,16,FALSE
trees_display.fid--1672c0a_16c6758e284_-e2b,18038754,POINT (73.87409236300005 18.564172686000045),,,20,4,3,Healthy,,Public,"N/A
","Alandi Road 
    
    
    
",18.56417269,73.87409236,TRUE,NA,N/A,16,Prosopis juliflora (Sw.)Dc.,4021371,Mesquite,Villayati Babul,Timber wood,Seasonal,October-May,16,FALSE
trees_display.fid--1672c0a_16c6758e284_-e2a,18038755,POINT (73.87411147400007 18.564179360000026),,,25,5,3,Healthy,,Public,"N/A
","Alandi Road 
    
    
    
",18.56417936,73.87411147,TRUE,NA,N/A,16,Prosopis juliflora (Sw.)Dc.,4021370,Mesquite,Villayati Babul,Timber wood,Seasonal,October-May,16,FALSE
trees_display.fid--1672c0a_16c6758e284_-e29,18038756,POINT (73.87410040900005 18.564164104000035),,,20,4,3,Healthy,,Public,"N/A
","Alandi Road 
    
    
    
",18.5641641,73.87410041,TRUE,NA,N/A,16,Prosopis juliflora (Sw.)Dc.,4021372,Mesquite,Villayati Babul,Timber wood,Seasonal,October-May,16,FALSE
trees_display.fid--1672c0a_16c6758e284_-e28,18038757,POINT (73.87404777100002 18.564222903000026),,,20,5,3,Healthy,,Public,"N/A
","Alandi Road 
    
    
    
",18.5642229,73.87404777,TRUE,NA,N/A,16,Prosopis juliflora (Sw.)Dc.,4021373,Mesquite,Villayati Babul,Timber wood,Seasonal,October-May,16,FALSE
trees_display.fid--1672c0a_16c6758e284_-e27,18038758,POINT (73.87412790200005 18.56416029000008),,,20,5,3,Healthy,,Public,"N/A
","Alandi Road 
    
    
    
",18.56416029,73.8741279,TRUE,NA,N/A,16,Prosopis juliflora (Sw.)Dc.,4021374,Mesquite,Villayati Babul,Timber wood,Seasonal,October-May,16,FALSE
trees_display.fid--1672c0a_16c6758e284_-e26,18038759,POINT (73.87397032200008 18.564207965000033),,,25,4,3,Healthy,,Public,"N/A
","Alandi Road 
    
    
    
",18.56420797,73.87397032,TRUE,NA,N/A,16,Prosopis juliflora (Sw.)Dc.,4021375,Mesquite,Villayati Babul,Timber wood,Seasonal,October-May,16,FALSE
trees_display.fid--1672c0a_16c6758e284_-e25,18038760,POINT (73.87415740600005 18.564221949000054),,,20,5,3,Healthy,,Public,"N/A
","Alandi Road 
    
    
    
",18.56422195,73.87415741,TRUE,NA,N/A,16,Prosopis juliflora (Sw.)Dc.,4021377,Mesquite,Villayati Babul,Timber wood,Seasonal,October-May,16,FALSE
